,study_accession,experiment_accession,experiment_title,sample_taxon_id,sample_scientific_name,experiment_library_strategy,experiment_library_source,experiment_library_selection,sample_accession,sample_alias,experiment_instrument_model,pool_member_spots,run_1_size,run_1_accession,run_1_total_spots,run_1_total_bases
120,SRP445366,SRX20750300,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039673,pseudo_v3v4_GFX0088067.fastq,GridION,4309,1826625,SRR24994335,4309,1811677
121,SRP445366,SRX20750299,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039672,pseudo_v3v4_GFX0088061.fastq,GridION,1853,819013,SRR24994336,1853,782150
122,SRP445366,SRX20750298,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039670,pseudo_v3v4_GFX0088055.fastq,GridION,9888,4132927,SRR24994337,9888,4181426
123,SRP445366,SRX20750296,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039669,pseudo_v3v4_GFX0088054.fastq,GridION,4948,2090414,SRR24994339,4948,2079849
124,SRP445366,SRX20750295,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039668,pseudo_v3v4_GFX0084035.fastq,GridION,6165,2593277,SRR24994340,6165,2595518
125,SRP445366,SRX20750294,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039708,pseudo_v3v4_GFX0084033.fastq,GridION,6718,2808841,SRR24994341,6718,2824192
126,SRP445366,SRX20750293,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039667,pseudo_v3v4_GFX0084031.fastq,GridION,10342,4348084,SRR24994342,10342,4401018
127,SRP445366,SRX20750292,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039723,pseudo_v3v4_GFX0084020.fastq,GridION,4665,1987046,SRR24994343,4665,1979902
128,SRP440660,SRX20565623,120H_BIOFILM_SIP,718308,biofilm metagenome,AMPLICON,METAGENOMIC,PCR,SRS17870147,R10-4,HiSeq X Five,4138,465726,SRR24793183,4138,1266228
129,SRP440303,SRX20545529,Shotgun metagenomics of microbial enrichment: aerobic denitrifying culture,1076179,bioreactor metagenome,WGS,METAGENOMIC,RANDOM,SRS17852452,R32x_68d_np,MinION,849629,2693840551,SRR24770526,849629,2915678924
130,SRP440303,SRX20545527,Shotgun metagenomics of microbial enrichment: aerobic denitrifying culture,1076179,bioreactor metagenome,WGS,METAGENOMIC,RANDOM,SRS17852450,R4x_68d_np,MinION,2399572,9434591690,SRR24770528,2399572,10691039814
131,SRP436136,SRX20233647,WGS of DBVPG5303 - psychrophilic yeast,1851511,Naganishia onofrii,WGS,GENOMIC,RANDOM,SRS17567922,DBVPG 5303,MinION,631669,1906365012,SRR24446466,631669,2135529854
132,SRP436136,SRX20233646,WGS of MNACCFEE5425 - psychrophilic yeast,1424756,Naganishia vaughanmartiniae,WGS,GENOMIC,RANDOM,SRS17567924,MNACCFEE 5425,MinION,699039,2635733399,SRR24446467,699039,2966308747
133,SRP436136,SRX20233645,WGS of MNACCFEE5423 - psychrophilic yeast,89922,Naganishia friedmannii,WGS,GENOMIC,RANDOM,SRS17567923,MNACCFEE 5423,MinION,400000,1197511136,SRR24446468,400000,1338158260
134,SRP436136,SRX20233644,WGS of MNACCFEE5262 - psychrophilic yeast,92952,Naganishia adeliensis,WGS,GENOMIC,RANDOM,SRS17567921,MNACCFEE 5262,MinION,341527,1932530045,SRR24446469,341527,2136890999
135,SRP436136,SRX20233643,WGS of MNACCFEE5261 - psychrophilic yeast,610337,Naganishia cerealis,WGS,GENOMIC,RANDOM,SRS17567920,MNACCFEE 5261,MinION,392143,2229677061,SRR24446470,392143,2452712307
136,SRP435501,SRX20179700,"ONT SQK-NBD112-24 library of Serratia sp. K-M0706: R10.4 flowcell on GridION, guppy v6.2.11 in super high accuracy mode",3020826,Serratia sp. K-M0706,WGS,GENOMIC,RANDOM,SRS17512906,Ssarumanii,GridION,67865,265432007,SRR24391587,67865,304581590
137,SRP435500,SRX20179698,"ONT SQK-NBD112-24 library of Serratia sp. K-E0102: R10.4 flowcell on GridION, guppy v6.2.11 in super high accuracy mode",3021405,Serratia sp. K-E0102,WGS,GENOMIC,RANDOM,SRS17512905,Serratia sp. K-E0102,GridION,113765,379015890,SRR24391585,113765,441771393
138,SRP426545,SRX19628682,Nanopore sequencing of Salmonella enterica from chicken manure,57045,Salmonella enterica subsp. enterica serovar Paratyphi B,WGS,GENOMIC,RANDOM,SRS17106609,Salmonella_enterica_Chicken_manure_1_2021,MinION,18189,105944499,SRR23796611,18189,124562997
139,SRP427671,SRX19691692,"ONT SQK-LSK112 library of Lacticaseibacillus sp. DSM 115425: R10.4 flowcell on GridION, guppy v6.3.8 in super high accuracy mode",3035291,Lacticaseibacillus huelsenbergensis,WGS,GENOMIC,RANDOM,SRS17060688,DSM 115425,GridION,297762,1119702634,SRR23879687,297762,1284400665
140,SRP426545,SRX19628698,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,596,Salmonella enterica subsp. enterica serovar Muenchen,WGS,GENOMIC,RANDOM,SRS16998290,Salmonella_enterica_Chicken_meat_3_2021,MinION,22914,132509958,SRR23796595,22914,155754504
141,SRP426545,SRX19628697,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,596,Salmonella enterica subsp. enterica serovar Muenchen,WGS,GENOMIC,RANDOM,SRS16998289,Salmonella_enterica_Chicken_meat_2_2021,MinION,21490,117082528,SRR23796596,21490,137556995
142,SRP426545,SRX19628696,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,57045,Salmonella enterica subsp. enterica serovar Paratyphi B,WGS,GENOMIC,RANDOM,SRS16998288,Salmonella_enterica_Chicken_meat_1_2021,MinION,31047,256128109,SRR23796597,31047,302394906
143,SRP426545,SRX19628695,Nanopore sequencing of Campylobacter jejuni from chicken manure,596,Salmonella enterica subsp. enterica serovar Muenchen,WGS,GENOMIC,RANDOM,SRS16998287,Salmonella_enterica_Chicken_manure_7_2021,MinION,22885,165239673,SRR23796598,22885,194670037
144,SRP426545,SRX19628694,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,596,Salmonella enterica subsp. enterica serovar Muenchen,WGS,GENOMIC,RANDOM,SRS16998286,Salmonella_enterica_Chicken_manure_6_2021,MinION,31482,170726988,SRR23796599,31482,200542165
145,SRP426545,SRX19628693,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,596,Salmonella enterica subsp. enterica serovar Muenchen,WGS,GENOMIC,RANDOM,SRS16998285,Salmonella_enterica_Chicken_manure_5_2021,MinION,25140,137024936,SRR23796600,25140,160921219
146,SRP426545,SRX19628692,Nanopore sequencing of Campylobacter jejuni from chicken manure,596,Salmonella enterica subsp. enterica serovar Muenchen,WGS,GENOMIC,RANDOM,SRS16998284,Salmonella_enterica_Chicken_manure_4_2021,MinION,64829,449619097,SRR23796601,64829,530180890
147,SRP426545,SRX19628691,Nanopore sequencing of Campylobacter jejuni from chicken manure,596,Salmonella enterica subsp. enterica serovar Muenchen,WGS,GENOMIC,RANDOM,SRS16998283,Salmonella_enterica_Chicken_manure_3_2021,MinION,17591,123615292,SRR23796602,17591,145549109
148,SRP426545,SRX19628690,Nanopore sequencing of Campylobacter jejuni from human stool,149539,Salmonella enterica subsp. enterica serovar Enteritidis,WGS,GENOMIC,RANDOM,SRS16998282,Salmonella_enterica_Human_faeces_3_2022,MinION,63607,236221208,SRR23796603,63607,275937411
149,SRP426545,SRX19628689,Nanopore sequencing of Campylobacter jejuni from human stool,149539,Salmonella enterica subsp. enterica serovar Enteritidis,WGS,GENOMIC,RANDOM,SRS16998281,Salmonella_enterica_Human_faeces_2_2022,MinION,59486,188795355,SRR23796604,59486,219837272
150,SRP426545,SRX19628688,Nanopore sequencing of Campylobacter jejuni from human stool,149539,Salmonella enterica subsp. enterica serovar Enteritidis,WGS,GENOMIC,RANDOM,SRS16998280,Salmonella_enterica_Human_faeces_1_2022,MinION,34962,96983820,SRR23796605,34962,112605344
151,SRP426545,SRX19628687,Nanopore sequencing of Campylobacter jejuni from human stool,596,Salmonella enterica subsp. enterica serovar Muenchen,WGS,GENOMIC,RANDOM,SRS16998279,Salmonella_enterica_Human_faeces_1_2021,MinION,18881,124611902,SRR23796606,18881,146841301
152,SRP426545,SRX19628686,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,596,Salmonella enterica subsp. enterica serovar Muenchen,WGS,GENOMIC,RANDOM,SRS16998278,Salmonella_enterica_Chicken_meat_8_2021,MinION,13379,100037008,SRR23796607,13379,117940436
153,SRP426545,SRX19628685,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,57045,Salmonella enterica subsp. enterica serovar Paratyphi B,WGS,GENOMIC,RANDOM,SRS16998277,Salmonella_enterica_Chicken_meat_7_2021,MinION,24043,168308590,SRR23796608,24043,198288866
154,SRP426545,SRX19628684,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,596,Salmonella enterica subsp. enterica serovar Muenchen,WGS,GENOMIC,RANDOM,SRS16998276,Salmonella_enterica_Chicken_meat_4_2021,MinION,69353,376215102,SRR23796609,69353,441517092
155,SRP426545,SRX19628683,Nanopore sequencing of Campylobacter jejuni from chicken manure,596,Salmonella enterica subsp. enterica serovar Muenchen,WGS,GENOMIC,RANDOM,SRS16998275,Salmonella_enterica_Chicken_manure_2_2021,MinION,26781,154579300,SRR23796610,26781,181808508
156,SRP426543,SRX19628666,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998261,Campylobacter_jejuni_Chicken_manure_3_2021,MinION,28011,179320177,SRR23796517,28011,198775816
157,SRP426543,SRX19628665,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998260,Campylobacter_jejuni_Chicken_manure_2_2022,MinION,52960,82002884,SRR23796518,52960,88760622
158,SRP426543,SRX19628664,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998259,Campylobacter_jejuni_Chicken_manure_2_2021,MinION,5355,30039144,SRR23796519,5355,33417376
159,SRP426543,SRX19628663,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998258,Campylobacter_jejuni_Human_faeces_9_2021,MinION,8920,46766438,SRR23796520,8920,52074613
160,SRP426543,SRX19628662,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998257,Campylobacter_jejuni_Human_faeces_8_2021,MinION,14535,76293724,SRR23796521,14535,84851640
161,SRP426543,SRX19628661,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998255,Campylobacter_jejuni_Human_faeces_7_2021,MinION,8327,35175684,SRR23796522,8327,38985361
162,SRP426543,SRX19628660,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998256,Campylobacter_jejuni_Chicken_manure_12_2022,MinION,58497,135463739,SRR23796523,58497,148557535
163,SRP426543,SRX19628659,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998254,Campylobacter_jejuni_Human_faeces_6_2021,MinION,22310,103998510,SRR23796524,22310,115149484
164,SRP426543,SRX19628658,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998253,Campylobacter_jejuni_Human_faeces_5_2021,MinION,29067,194311273,SRR23796525,29067,217097284
165,SRP426543,SRX19628657,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998252,Campylobacter_jejuni_Human_faeces_4_2022,MinION,40775,75273550,SRR23796526,40775,82019210
166,SRP426543,SRX19628656,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998250,Campylobacter_jejuni_Human_faeces_4_2021,MinION,8646,47707354,SRR23796527,8646,53060801
167,SRP426543,SRX19628655,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998251,Campylobacter_jejuni_Human_faeces_3_2022,MinION,97614,181670356,SRR23796528,97614,198002394
168,SRP426543,SRX19628654,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998249,Campylobacter_jejuni_Human_faeces_3_2021,MinION,8730,42854097,SRR23796529,8730,47628445
169,SRP426543,SRX19628653,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998248,Campylobacter_jejuni_Human_faeces_2_2022,MinION,45105,82980395,SRR23796530,45105,90380986
170,SRP426543,SRX19628652,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998247,Campylobacter_jejuni_Human_faeces_2_2021,MinION,8582,48493889,SRR23796531,8582,53962839
171,SRP426543,SRX19628651,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998246,Campylobacter_jejuni_Human_faeces_18_2021,MinION,5234,24444404,SRR23796532,5234,27120242
172,SRP426543,SRX19628650,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998245,Campylobacter_jejuni_Human_faeces_17_2021,MinION,22175,59988577,SRR23796533,22175,66160153
173,SRP426543,SRX19628649,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998244,Campylobacter_jejuni_Chicken_manure_11_2022,MinION,31900,79881334,SRR23796534,31900,87729400
174,SRP426543,SRX19628648,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998242,Campylobacter_jejuni_Human_faeces_16_2021,MinION,4226,33511982,SRR23796535,4226,37510401
175,SRP426543,SRX19628647,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998243,Campylobacter_jejuni_Human_faeces_15_2021,MinION,7150,42621612,SRR23796536,7150,47526090
176,SRP426543,SRX19628646,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998241,Campylobacter_jejuni_Human_faeces_14_2021,MinION,11573,71365915,SRR23796537,11573,79729763
177,SRP426543,SRX19628645,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998240,Campylobacter_jejuni_Human_faeces_13_2021,MinION,6230,31408748,SRR23796538,6230,34935752
178,SRP426543,SRX19628644,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998239,Campylobacter_jejuni_Human_faeces_12_2021,MinION,11765,63706495,SRR23796539,11765,70619888
179,SRP426543,SRX19628643,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998237,Campylobacter_jejuni_Human_faeces_11_2021,MinION,8801,48831678,SRR23796540,8801,54255642
180,SRP426543,SRX19628642,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998238,Campylobacter_jejuni_Human_faeces_10_2021,MinION,11541,66458402,SRR23796541,11541,74190104
181,SRP426543,SRX19628641,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998236,Campylobacter_jejuni_Human_faeces_1_2022,MinION,36119,62377165,SRR23796542,36119,67826615
182,SRP426543,SRX19628640,Nanopore sequencing of Campylobacter jejuni from human stool,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998235,Campylobacter_jejuni_Human_faeces_1_2021,MinION,7101,41431439,SRR23796543,7101,46098849
183,SRP426543,SRX19628639,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998234,Campylobacter_jejuni_Chicken_meat_9_2021,MinION,9794,55371113,SRR23796544,9794,61611248
184,SRP426543,SRX19628638,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998233,Campylobacter_jejuni_Chicken_manure_11_2021,MinION,15450,88428366,SRR23796545,15450,98039031
185,SRP426543,SRX19628637,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998232,Campylobacter_jejuni_Chicken_meat_8_2021,MinION,9032,54194913,SRR23796546,9032,60126410
186,SRP426543,SRX19628636,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998231,Campylobacter_jejuni_Chicken_meat_7_2021,MinION,17799,128386003,SRR23796547,17799,143549880
187,SRP426543,SRX19628635,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998229,Campylobacter_jejuni_Chicken_meat_6_2021,MinION,11802,72679074,SRR23796548,11802,80726291
188,SRP426543,SRX19628634,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998230,Campylobacter_jejuni_Chicken_meat_5_2021,MinION,15526,65759298,SRR23796549,15526,72698052
189,SRP426543,SRX19628633,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998228,Campylobacter_jejuni_Chicken_meat_4_2021,MinION,7691,40868360,SRR23796550,7691,45331355
190,SRP426543,SRX19628632,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998226,Campylobacter_jejuni_Chicken_meat_3_2021,MinION,7746,49850085,SRR23796551,7746,55377696
191,SRP426543,SRX19628631,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998227,Campylobacter_jejuni_Chicken_meat_2_2021,MinION,10328,64877621,SRR23796552,10328,72009970
192,SRP426543,SRX19628630,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998225,Campylobacter_jejuni_Chicken_meat_18_2021,MinION,41587,244010372,SRR23796553,41587,271047438
193,SRP426543,SRX19628629,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998224,Campylobacter_jejuni_Chicken_meat_17_2021,MinION,9848,46392705,SRR23796554,9848,51622483
194,SRP426543,SRX19628628,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998223,Campylobacter_jejuni_Chicken_meat_16_2021,MinION,17210,79448637,SRR23796555,17210,88392852
195,SRP426543,SRX19628627,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998222,Campylobacter_jejuni_Chicken_manure_10_2022,MinION,47011,86151079,SRR23796556,47011,93869582
196,SRP426543,SRX19628626,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998221,Campylobacter_jejuni_Chicken_meat_15_2021,MinION,22638,153793769,SRR23796557,22638,171100114
197,SRP426543,SRX19628625,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998220,Campylobacter_jejuni_Chicken_meat_14_2021,MinION,7132,43841427,SRR23796558,7132,48769557
198,SRP426543,SRX19628624,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998219,Campylobacter_jejuni_Chicken_meat_13_2021,MinION,30260,98607501,SRR23796559,30260,109038744
199,SRP426543,SRX19628623,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998217,Campylobacter_jejuni_Chicken_meat_12_2021,MinION,9511,62495809,SRR23796560,9511,69726985
200,SRP426543,SRX19628622,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998218,Campylobacter_jejuni_Chicken_meat_11_2021,MinION,7443,45442861,SRR23796561,7443,50602048
201,SRP426543,SRX19628621,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998216,Campylobacter_jejuni_Chicken_meat_10_2021,MinION,22989,88576389,SRR23796562,22989,98192966
202,SRP426543,SRX19628620,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998215,Campylobacter_jejuni_Chicken_meat_1_2021,MinION,11952,69341504,SRR23796563,11952,76925233
203,SRP426543,SRX19628619,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998214,Campylobacter_jejuni_Chicken_manure_9_2022,MinION,23149,72868585,SRR23796564,23149,80392653
204,SRP426543,SRX19628618,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998213,Campylobacter_jejuni_Chicken_manure_9_2021,MinION,4687,26957529,SRR23796565,4687,29969296
205,SRP426543,SRX19628617,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998212,Campylobacter_jejuni_Chicken_manure_8_2022,MinION,44196,84740886,SRR23796566,44196,92412959
206,SRP426543,SRX19628616,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998211,Campylobacter_jejuni_Chicken_manure_10_2021,MinION,19058,94314392,SRR23796567,19058,104460591
207,SRP426543,SRX19628615,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998210,Campylobacter_jejuni_Chicken_manure_8_2021,MinION,9694,55348526,SRR23796568,9694,61572402
208,SRP426543,SRX19628614,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998208,Campylobacter_jejuni_Chicken_manure_7_2022,MinION,21016,66459417,SRR23796569,21016,73277424
209,SRP426543,SRX19628613,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998209,Campylobacter_jejuni_Chicken_manure_7_2021,MinION,15923,93448164,SRR23796570,15923,103677923
210,SRP426543,SRX19628612,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998207,Campylobacter_jejuni_Chicken_manure_6_2022,MinION,65482,138411103,SRR23796571,65482,151323141
211,SRP426543,SRX19628611,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998206,Campylobacter_jejuni_Chicken_manure_6_2021,MinION,18871,103108596,SRR23796572,18871,114924816
212,SRP426543,SRX19628610,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998205,Campylobacter_jejuni_Chicken_manure_5_2022,MinION,46287,89062741,SRR23796573,46287,97164091
213,SRP426543,SRX19628609,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998204,Campylobacter_jejuni_Chicken_manure_5_2021,MinION,23606,87671009,SRR23796574,23606,97161904
214,SRP426543,SRX19628608,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998203,Campylobacter_jejuni_Chicken_manure_4_2022,MinION,52860,107051189,SRR23796575,52860,116954762
215,SRP426543,SRX19628607,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998200,Campylobacter_jejuni_Chicken_manure_4_2021,MinION,21909,86591571,SRR23796576,21909,95964942
216,SRP426543,SRX19628606,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998202,Campylobacter_jejuni_Chicken_manure_3_2022,MinION,91949,147662234,SRR23796577,91949,160192525
217,SRP426543,SRX19628605,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998201,Campylobacter_jejuni_Chicken_manure_1_2022,MinION,48143,91509277,SRR23796578,48143,99218194
218,SRP426543,SRX19628604,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,WGS,GENOMIC,RANDOM,SRS16998199,Campylobacter_jejuni_Chicken_manure_1_2021,MinION,7078,46469809,SRR23796579,7078,51795503
219,SRP422916,SRX19555864,Long read sequencing of Proteus mirabilis HK294,584,Proteus mirabilis,WGS,GENOMIC,RANDOM,SRS16940532,Proteus mirabilis HK294,MinION,15165,96592138,SRR23693644,15165,105212744
220,SRP423976,SRX19473945,Amplicon of root samples derived from five Rhododendron species by different elevations,1297885,plant metagenome,AMPLICON,METAGENOMIC,PCR,SRS16865586,R10_4,Illumina MiSeq,51669,16544650,SRR23588865,51669,31104738
221,SRP416632,SRX19144132,PCR amplification and Oxford Nanopore Technologies sequencing of vmp expression site in Borrelia miyamotoi following in vitro antibody killing and reisolation.,47466,Borrelia miyamotoi,AMPLICON,GENOMIC,PCR,SRS16401702,bmLB2001_vmp_experiment,MinION,166040,167276557,SRR23195154,166040,194716850
222,SRP417472,SRX19034690,Long-read metagenome from a nitrifying enrichment from Elba,408172,marine metagenome,WGS,METAGENOMIC,RANDOM,SRS16452843,"Unclassified sequences, nitrite oxidizing enrichment containing a Nitrospirales sp. from Elba, metagenome",MinION,68671,178263012,SRR23081997,68671,202164275
223,SRP417472,SRX19033927,Long-read metagenome from a nitrifying enrichment from Maine,408172,marine metagenome,WGS,METAGENOMIC,RANDOM,SRS16452045,"Unclassified sequences, nitrite oxidizing enrichment containing a Nitrospirales sp. from Maine, metagenome",MinION,22163,48247888,SRR23081130,22163,54618801
224,SRP416632,SRX18980560,PCR amplification and Oxford Nanopore Technologies sequencing of vmp expression site in Borrelia miyamotoi following in vitro antibody killing and reisolation.,47466,Borrelia miyamotoi,AMPLICON,GENOMIC,PCR,SRS16401702,bmLB2001_vmp_experiment,MinION,,,SRR23025077,,
225,SRP409028,SRX18334013,"GSM6745691: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, CD71 Low, rep 4, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823072,GSM6745691,NextSeq 2000,33926812,1139256767,SRR22363343,33926812,3392681200
